title,author,genre,rating,price,year,pages,reviews,amazon_year
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Cleaning, Caretaking & Relocating",4.5,9..42,2017,224,"59,251 ratings",2019
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,Unknown,4.9,27..92,2019,464,"27,519 ratings",2019
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,Almanacs,4.8,10..61,2018,128,"19,845 ratings",2019
Zen as F*ck: A Journal for Practicing the Mindful Art of Not Giving a Sh*t (Zen as F*ck Journals),Monica Sweeney,"Love, Sex & Marriage",4.7,6..90,2018,128,"24,672 ratings",2019
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Personal Finance,4.7,13..80,2017,336,"102,857 ratings",2019
The Institute: A Novel,Stephen King,Kidnapping,4.6,15..97,2019,576,"60,910 ratings",2019
The Testaments: The Sequel to The Handmaid's Tale,Margaret Atwood,Short Stories,4.6,15..17,2019,432,"71,550 ratings",2019
Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,Scholastic,Video & Electronic,4.8,9..35,2018,496,"21,343 ratings",2019
CreateSpace Classics Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,Book Design,4.5,6..99,2017,112,"21,485 ratings",2019
"Carson Dellosa 54 Phonics Flash Cards, Sight Words Flashcards for Kids Ages 4 and Up, High Frequency Vocabulary Preschool and Kindergarten Learning Activities, Toddler Stocking Stuffers",Brighter Child,Sounds,4.8,9..99,2006,54,"46,863 ratings",2019
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Social Psychology & Interactions,4.8,14..20,2022,320,"139,893 ratings",2019
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Happiness,4.7,11..43,2019,144,"47,845 ratings",2019
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,Creativity,4.7,8..71,2019,160,"42,847 ratings",2019
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Military,4.6,14..29,2020,464,"142,955 ratings",2019
What to Expect When You're Expecting: (Updated in 2024),Heidi Murkoff,Pregnancy & Childbirth,4.8,10..73,2016,656,"29,479 ratings",2019
Where the Crawdads Sing: Reese's Book Club (A Novel),Delia Owens,Coming of Age,4.7,13..72,2018,496,"634,573 ratings",2019
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,Interpersonal Relations,4.7,9..12,2013,320,"30,615 ratings",2019
The Alchemist: A Modern Classic of Magic and Mysticism (Perennial Classics),Paulo Coelho,Historical,4.6,7..85,2014,208,"166,954 ratings",2019
The Pout-Pout Fish,Deborah Diesen,Emotions & Feelings,4.8,4..50,2013,32,"27,061 ratings",2019
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,Interpersonal Relations,4.4,12..81,2020,400,"23,902 ratings",2019
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Zoos,4.8,4..84,1725,18,"31,173 ratings",2019
The Overstory: A Novel,Richard Powers,Class Records & Lesson Books,4.4,15..00,2019,512,"39,851 ratings",2019
Fahrenheit 451,Ray Bradbury,Censorship,4.6,9..05,1953,249,"55,135 ratings",2019
StrengthsFinder 2.0,Gallup,Management,4.1,28..52,2007,175,"8,423 ratings",2019
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Applied Psychology,4.7,14..08,2018,409,"82,468 ratings",2019
Eleanor Oliphant Is Completely Fine: Reese's Book Club: A Novel,Gail Honeyman,Friendship,4.5,9..90,2018,352,"240,357 ratings",2019
Me: Elton John Official Autobiography,Elton John,Popular,4.7,11..00,2019,384,"28,504 ratings",2019
The Road Back to You: An Enneagram Journey to Self-Discovery,Ian Morgan Cron,Personal Growth,4.7,11..65,2016,240,"13,148 ratings",2019
The Tattooist of Auschwitz: A Novel,Heather Morris,World War II & Holocaust,4.6,8..92,2021,288,"173,480 ratings",2019
People of Walmart Adult Coloring Book: Rolling Back Dignity (OFFICIAL People of Walmart Books),Andrew Kipple,Comics & Manga,4.7,11..99,2016,76,"12,349 ratings",2019
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,Censorship,4.4,8..41,2004,180,"17,859 ratings",2019
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America’s Test Kitchen Kids,Daily Activities,4.8,10..70,2019,208,"24,382 ratings",2019
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel Maddow,Corruption & Misconduct,4.8,19..00,2019,432,"10,374 ratings",2019
